Latitude,Longitude,Elevation
50.37484650,6.934733400,443.0
50.37493230,6.935291300,443.0
50.37510400,6.935806300,452.0
50.37570480,6.936707500,435.0
50.37587640,6.936793300,435.0
50.37630560,6.936879200,416.0
50.37647720,6.936965000,416.0
50.37712100,6.937737500,405.0
50.37742140,6.938123700,411.0
50.37763600,6.938638700,411.0
50.37763600,6.939282400,407.0
50.37759300,6.939711600,399.0
50.37737850,6.940269500,399.0
50.37707810,6.940870300,403.0
50.37643430,6.942157700,378.0
50.37609100,6.942372300,388.0
50.37591930,6.942672700,388.0
50.37596230,6.943059000,385.0
50.37621970,6.943316500,385.0
50.37643430,6.943874400,369.0
50.37652020,6.944389300,369.0
50.37664890,6.946106000,361.0
50.37669180,6.947264700,351.0
50.37647720,6.948981300,339.0
50.37647720,6.949367500,339.0
50.37656310,6.949753800,335.0
50.37694930,6.950097100,335.0
50.37737850,6.950397500,332.0
50.37763600,6.950440400,343.0
50.37815090,6.950397500,334.0
50.37827970,6.950526200,350.0
50.37853720,6.950912500,350.0
50.37862300,6.951255800,371.0
50.37922380,6.954131100,360.0
50.37937320,6.955130500,366.0
50.37978170,6.957864800,362.0
50.38059710,6.959967600,373.0
50.38068290,6.960310900,373.0
50.38068290,6.960568400,372.0
50.38051130,6.961083400,372.0
50.38033960,6.961212200,391.0
50.37750720,6.961212200,402.0
50.37682060,6.961512600,397.0
50.37647720,6.961684200,397.0
50.37604810,6.962070500,427.0
50.37566180,6.962671300,402.0
50.37506100,6.964302100,415.0
50.37446020,6.966748200,441.0
50.37446020,6.969580700,436.0
50.37433150,6.970696400,435.0
50.37428860,6.972284300,441.0
50.37398820,6.974043800,461.0
50.37373070,6.975288400,460.0
50.37360190,6.975760500,462.0
50.37282940,6.977348300,476.0
50.37222860,6.979408300,495.0
50.37218570,6.979880300,502.0
50.37222860,6.980481100,503.0
50.37240030,6.981382400,506.0
50.37270070,6.982197800,511.0
50.37316460,6.983027900,515.0
50.37351610,6.983656900,515.0
50.37385940,6.984472300,527.0
50.37398820,6.984944300,525.0
50.37415980,6.986360500,528.0
50.37428860,6.987862600,534.0
50.37437440,6.988549200,537.0
50.37424560,6.989021300,541.0
50.37394520,6.989364600,541.0
50.37377360,6.989450500,541.0
50.37343030,6.989321700,551.0
50.37304400,6.988377600,546.0
50.37231450,6.986703900,553.0
50.37197110,6.985459300,560.0
50.37179950,6.985244800,561.0
50.37162780,6.985158900,561.0
50.37154200,6.985201800,561.0
50.37137030,6.985373500,561.0
50.37132740,6.985545200,560.0
50.37128450,6.985759700,560.0
50.37132740,6.986060100,560.0
50.37137030,6.986274700,555.0
